Name,Website,Facebook,LinkedIn,X,Instagram,Youtube
OpenAI,https://openai.com,https://www.facebook.com/OpenAI,https://www.linkedin.com/company/openai/,https://x.com/OpenAI,https://www.instagram.com/openai/,https://www.youtube.com/@OpenAI
GitHub,https://github.com,https://www.facebook.com/GitHub,https://www.linkedin.com/company/github/,https://x.com/github,https://www.instagram.com/github/,https://www.youtube.com/@GitHub
