run_id,captured_date,name,website,youtube_count,youtube_raw,youtube_precision,youtube_status,youtube_source,x_count,x_raw,x_precision,x_status,x_source,linkedin_count,linkedin_raw,linkedin_precision,linkedin_status,linkedin_source,instagram_count,instagram_raw,instagram_precision,instagram_status,instagram_source,facebook_count,facebook_raw,facebook_precision,facebook_status,facebook_source,last_captured_at
2026-09-16_09-25-17-709,2026-09-16,RIS,https://www.ris.org.in,1880,1.88K,rounded_public,collected,https://www.youtube.com/user/RISNewDelhi,14693,14693,exact_public,collected,https://x.com/RIS_NewDelhi,18844,"18,844",exact_public,collected,https://www.linkedin.com/company/research-and-information-system-for-developing-countries,739,739,exact_public,collected,https://www.instagram.com/risdelhi,6161,"6,161",exact_public,collected,https://www.facebook.com/RISIndia,2026-09-16T10:15:37.603Z
2026-09-16_09-00-36-892,2026-09-16,SAIIA (South African Institute of International Affairs),https://saiia.org.za,,,,,,16208,16208,exact_public,collected,https://x.com/SAIIA_info,,,,,,,,,,,,,,,,2026-09-16T09:03:26.927Z
2026-09-16_09-25-17-709,2026-09-16,SAIIA (South African Institute of International Affairs),https://saiia.org.za,2300,2.3K,rounded_public,collected,https://www.youtube.com/saiiaclips,16208,16208,exact_public,collected,https://x.com/SAIIA_info,,,,count_not_found,https://www.linkedin.com/login/?session_redirect=%2Fcompany%2F1121142,4469,4469,exact_public,collected,https://www.instagram.com/saiia_org,12017,"12,017",exact_public,collected,https://www.facebook.com/saiia.info/,2026-09-16T10:16:32.673Z
2026-09-16_09-00-36-892,2026-09-16,SIPRI (Stockholm International Peace Research Institute),https://www.sipri.org,,,,,,104300,104300,exact_public,collected,https://x.com/SIPRIorg,,,,,,,,,,,,,,,,2026-09-16T09:03:28.867Z
2026-09-16_09-25-17-709,2026-09-16,SIPRI (Stockholm International Peace Research Institute),https://www.sipri.org,9760,9.76K,rounded_public,collected,https://www.youtube.com/user/SIPRIorg,104300,104300,exact_public,collected,https://x.com/SIPRIorg,51971,"51,971",exact_public,collected,https://www.linkedin.com/company/sipri,3849,3849,exact_public,collected,https://www.instagram.com/sipriorg,30726,"30,726",exact_public,collected,https://www.facebook.com/sipri.org,2026-09-16T10:17:14.163Z
2026-09-16_09-25-17-709,2026-09-16,Stimson Centre,https://www.stimson.org,9620,9.62K,rounded_public,collected,https://www.youtube.com/channel/UCMzl-NrhN_SuBYJho4UEx9Q,,,,,,35739,"35,739",exact_public,collected,https://www.linkedin.com/company/the-henry-l.-stimson-center,,,,,,,,,,,2026-09-16T10:17:38.035Z
2026-09-16_09-25-17-709,2026-09-16,SWP (German Institute for International and Security Affairs),https://www.swp-berlin.org/en,547,547,exact_public,collected,https://www.youtube.com/@SWP-Berlin,,,,,,32416,"32,416",exact_public,collected,https://www.linkedin.com/company/swp-berlin,,,,,,,,,,,2026-09-16T10:17:50.327Z
2026-09-16_09-00-36-892,2026-09-16,Tax Foundation,https://taxfoundation.org,,,,,,69688,69688,exact_public,collected,https://x.com/taxfoundation,,,,,,,,,,,,,,,,2026-09-16T09:03:30.824Z
2026-09-16_09-25-17-709,2026-09-16,Tax Foundation,https://taxfoundation.org,10500,10.5K,rounded_public,collected,https://www.youtube.com/user/TaxFoundation,69661,69661,exact_public,collected,https://x.com/taxfoundation,45181,"45,181",exact_public,collected,https://www.linkedin.com/company/tax-foundation,5236,5236,exact_public,collected,https://www.instagram.com/tax.foundation,25816,"25,816",exact_public,collected,https://www.facebook.com/taxfoundation,2026-09-16T10:18:20.440Z
2026-09-16_09-00-36-892,2026-09-16,The Energy and Resources Institute,https://www.teriin.org,,,,,,25463,25463,exact_public,collected,https://x.com/teriin,,,,,,,,,,,,,,,,2026-09-16T09:03:32.812Z
2026-09-16_09-25-17-709,2026-09-16,The Energy and Resources Institute,https://www.teriin.org,85400,85.4K,rounded_public,collected,https://www.youtube.com/user/teri,25464,25464,exact_public,collected,https://x.com/teriin,143154,"143,154",exact_public,collected,https://www.linkedin.com/company/teriin,7885,7885,exact_public,collected,https://www.instagram.com/teriindia,39614,"39,614",exact_public,collected,https://www.facebook.com/TERIIN,2026-09-16T10:19:04.462Z
2026-09-16_09-00-36-892,2026-09-16,The Takshashila Institution,https://takshashila.org.in,,,,,,15900,15900,exact_public,collected,https://x.com/TakshashilaInst,,,,,,,,,,,,,,,,2026-09-16T09:03:34.804Z
2026-09-16_09-25-17-709,2026-09-16,The Takshashila Institution,https://takshashila.org.in,5450,5.45K,rounded_public,collected,https://www.youtube.com/c/TakshashilaInst,15899,15899,exact_public,collected,https://x.com/TakshashilaInst,,,,count_not_found,https://www.linkedin.com/authwall?trk=gf&trkInfo=AQFHWMg_3FLyWQAAAaCpus24uZsEoVcklRjaC5J26QuZqYlc9Idn_BFsiNRrYPYIYk2H8R2c9AgS_lBqY2P-jLV8E_CwAHjYywgIVkeTRio4V6X3A4DB5tp1iG-OU4QcPelxF44=&original_referer=&sessionRedirect=https%3A%2F%2Fwww.linkedin.com%2Fschool%2Fthe-takshashila-institution,5394,5394,exact_public,collected,https://www.instagram.com/takshashilainst,,,,,,2026-09-16T10:20:05.468Z
2026-09-16_09-25-17-709,2026-09-16,Urban Institute,https://www.urban.org,5460,5.46K,rounded_public,collected,https://www.youtube.com/channel/UCiODGs5uF-ZdoLTrRXlkv7g,,,,,,124109,"124,109",exact_public,collected,https://www.linkedin.com/company/urban-institute,,,,,,,,,,,2026-09-16T10:20:30.343Z
2026-09-16_09-00-36-892,2026-09-16,Washington Institute for Near East Policy,https://www.washingtoninstitute.org,,,,,,74023,74023,exact_public,collected,https://x.com/WashInstitute,,,,,,,,,,,,,,,,2026-09-16T09:03:36.971Z
2026-09-16_09-25-17-709,2026-09-16,Washington Institute for Near East Policy,https://www.washingtoninstitute.org,,,,failed,https://www.youtube.com/user/WashingtonInstitute,74023,74023,exact_public,collected,https://x.com/WashInstitute,27103,"27,103",exact_public,collected,https://www.linkedin.com/company/the-washington-institute-for-near-east-policy,,,,,,38761,"38,761",exact_public,collected,https://www.facebook.com/WashingtonInstitute,2026-09-16T10:21:27.271Z
