run_id,id,name,website,platform,handle,profile_url,metric_label,count,raw_display_text,count_precision,status,error,source_url,captured_at,fetch_method,notes
2026-09-16_09-25-17-709,045-youtube,Gateway House: Indian Council on Global Relations,https://www.gatewayhouse.in,YouTube,channel/UCRIjNjS_T48odMrxTylxIxg,https://www.youtube.com/channel/UCRIjNjS_T48odMrxTylxIxg,Subscribers,5130,5.13K,rounded_public,collected,,https://www.youtube.com/channel/UCRIjNjS_T48odMrxTylxIxg,2026-09-16T09:51:31.047Z,playwright,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/%E0%A4%97%E0%A5%87%E0%A4%9F%E0%A4%B5%E0%A5%87-%E0%A4%B9%E0%A4%BE%E0%A4%89%E0%A4%B8%E0%A5%A4-%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4%E0%A5%80%E0%A4%AF-%E0%A4%B5%E0%A4%BF%E0%A4%A6%E0%A5%87%E0%A4%B6/ | Directory-listed account; institutional backlink was not accessible in this review.
2026-09-16_09-25-17-709,045-x,Gateway House: Indian Council on Global Relations,https://www.gatewayhouse.in,X,gatewayhouseind,http://x.com/gatewayhouseind,Followers,10222,10222,exact_public,collected,,https://x.com/gatewayhouseind,2026-09-16T09:51:43.742Z,static,Verified — discovered on official website scan | Source: https://www.gatewayhouse.in/ | Discovered from https://www.gatewayhouse.in via playwright.
2026-09-16_09-25-17-709,045-linkedin,Gateway House: Indian Council on Global Relations,https://www.gatewayhouse.in,LinkedIn,company/gateway-house-indian-council-of-global-relations,https://www.linkedin.com/company/gateway-house-indian-council-of-global-relations,Followers,16768,"16,768",exact_public,collected,,https://www.linkedin.com/company/gateway-house-indian-council-of-global-relations,2026-09-16T09:51:45.685Z,static,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/%E0%A4%97%E0%A5%87%E0%A4%9F%E0%A4%B5%E0%A5%87-%E0%A4%B9%E0%A4%BE%E0%A4%89%E0%A4%B8%E0%A5%A4-%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4%E0%A5%80%E0%A4%AF-%E0%A4%B5%E0%A4%BF%E0%A4%A6%E0%A5%87%E0%A4%B6/ | Directory-listed account; institutional backlink was not accessible in this review.
2026-09-16_09-25-17-709,045-instagram,Gateway House: Indian Council on Global Relations,https://www.gatewayhouse.in,Instagram,gatewayhouse.in,https://www.instagram.com/gatewayhouse.in/,Followers,1423,1423,exact_public,collected,,https://www.instagram.com/gatewayhouse.in/,2026-09-16T09:51:47.529Z,playwright,Verified — discovered on official website scan | Source: https://www.gatewayhouse.in/ | Discovered from https://www.gatewayhouse.in via playwright.
2026-09-16_09-25-17-709,046-youtube,Heritage Foundation,https://www.heritage.org,YouTube,user/HeritageFoundation,https://www.youtube.com/user/HeritageFoundation,Subscribers,461000,461K,rounded_public,collected,,https://www.youtube.com/user/HeritageFoundation,2026-09-16T09:51:59.754Z,playwright,Verified — institutional link | Source: https://www.heritage.org
2026-09-16_09-25-17-709,046-x,Heritage Foundation,https://www.heritage.org,X,heritage,https://x.com/heritage,Followers,769378,769378,exact_public,collected,,https://x.com/heritage,2026-09-16T09:52:11.110Z,static,Verified — institutional link | Source: https://www.heritage.org
2026-09-16_09-25-17-709,046-linkedin,Heritage Foundation,https://www.heritage.org,LinkedIn,company/the-heritage-foundation,https://www.linkedin.com/company/the-heritage-foundation,Followers,114697,"114,697",exact_public,collected,,https://www.linkedin.com/company/the-heritage-foundation,2026-09-16T09:52:13.599Z,static,Verified — institutional link | Source: https://www.heritage.org
2026-09-16_09-25-17-709,046-instagram,Heritage Foundation,https://www.heritage.org,Instagram,heritagefoundation,https://www.instagram.com/heritagefoundation,Followers,345382,345382,exact_public,collected,,https://www.instagram.com/heritagefoundation,2026-09-16T09:52:15.324Z,playwright,Verified — institutional link | Source: https://www.heritage.org
2026-09-16_09-25-17-709,046-facebook,Heritage Foundation,https://www.heritage.org,Facebook,heritagefoundation,https://www.facebook.com/heritagefoundation,Followers,2063919,"2,063,919",exact_public,collected,,https://www.facebook.com/heritagefoundation,2026-09-16T09:52:27.419Z,playwright,Verified — institutional link | Source: https://www.heritage.org
2026-09-16_09-25-17-709,047-youtube,Hoover Institution,https://www.hoover.org,YouTube,user/HooverInstitution,https://www.youtube.com/user/HooverInstitution,Subscribers,1210000,1.21M,rounded_public,collected,,https://www.youtube.com/user/HooverInstitution,2026-09-16T09:52:40.136Z,playwright,Verified — institutional link | Source: https://www.hoover.org
2026-09-16_09-25-17-709,047-x,Hoover Institution,https://www.hoover.org,X,HooverInst,https://x.com/HooverInst,,,,,failed,fetch failed,,2026-09-16T09:52:51.985Z,playwright,Verified — institutional link | Source: https://www.hoover.org
2026-09-16_09-25-17-709,047-linkedin,Hoover Institution,https://www.hoover.org,LinkedIn,company/hoover-institution-at-stanford-university,https://www.linkedin.com/company/hoover-institution-at-stanford-university,Followers,51572,"51,572",exact_public,collected,,https://www.linkedin.com/company/hoover-institution-at-stanford-university,2026-09-16T09:52:59.044Z,playwright,Verified — institutional link | Source: https://www.hoover.org
2026-09-16_09-25-17-709,047-instagram,Hoover Institution,https://www.hoover.org,Instagram,hooverinstitution,https://www.instagram.com/hooverinstitution,Followers,104069,104069,exact_public,collected,,https://www.instagram.com/hooverinstitution,2026-09-16T09:53:31.382Z,playwright,Verified — institutional link | Source: https://www.hoover.org
2026-09-16_09-25-17-709,047-facebook,Hoover Institution,https://www.hoover.org,Facebook,HooverInstStanford,https://www.facebook.com/HooverInstStanford,Followers,549038,"549,038",exact_public,collected,,https://www.facebook.com/HooverInstStanford,2026-09-16T09:53:43.754Z,playwright,Verified — institutional link | Source: https://www.hoover.org
2026-09-16_09-25-17-709,048-youtube,Hudson Institute,https://www.hudson.org,YouTube,user/hudsoninstitute,https://www.youtube.com/user/hudsoninstitute,Subscribers,136000,136K,rounded_public,collected,,https://www.youtube.com/user/hudsoninstitute,2026-09-16T09:53:57.641Z,playwright,Verified — institutional link | Source: https://www.hudson.org
2026-09-16_09-25-17-709,048-x,Hudson Institute,https://www.hudson.org,X,hudsoninstitute,https://x.com/hudsoninstitute,Followers,127126,127126,exact_public,collected,,https://x.com/hudsoninstitute,2026-09-16T09:54:08.896Z,static,Verified — institutional link | Source: https://www.hudson.org
2026-09-16_09-25-17-709,048-linkedin,Hudson Institute,https://www.hudson.org,LinkedIn,company/hudson-institute,https://www.linkedin.com/company/hudson-institute,Followers,31195,"31,195",exact_public,collected,,https://www.linkedin.com/company/hudson-institute,2026-09-16T09:54:11.229Z,static,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/hudson-institute/ | Directory-listed account; institutional backlink was not accessible in this review.
2026-09-16_09-25-17-709,048-instagram,Hudson Institute,https://www.hudson.org,Instagram,hudsoninstitute,https://www.instagram.com/hudsoninstitute,Followers,13933,13933,exact_public,collected,,https://www.instagram.com/hudsoninstitute,2026-09-16T09:54:12.707Z,playwright,Verified — institutional link | Source: https://www.hudson.org
2026-09-16_09-25-17-709,048-facebook,Hudson Institute,https://www.hudson.org,Facebook,HudsonInstitute,https://www.facebook.com/HudsonInstitute,Followers,22300,"22,300",exact_public,collected,,https://www.facebook.com/HudsonInstitute,2026-09-16T09:54:25.059Z,playwright,Verified — institutional link | Source: https://www.hudson.org
2026-09-16_09-25-17-709,049-youtube,IAI (Istituto Affari Internazionali),https://www.iai.it/en,YouTube,user/IAIChannel,https://www.youtube.com/user/IAIChannel,Subscribers,2490,2.49K,rounded_public,collected,,https://www.youtube.com/user/IAIChannel,2026-09-16T09:54:37.675Z,playwright,Verified — institutional link | Source: https://www.iai.it/en
